role,race,full_name,username,gender,ethnic_group,niche,followers_count,following_count,avatar_url
content,caucasian,"Troy Howard",TroyHoward,male,western,science_technology,361,209,https://randomuser.me/api/portraits/men/0.jpg
content,caucasian,"Brooke Turner",BrookeTurner,female,western,ai,444,137,https://randomuser.me/api/portraits/women/0.jpg
content,caucasian,"Tammy Bryant",TammyBryant,female,western,space,349,92,https://randomuser.me/api/portraits/women/1.jpg
content,caucasian,"Karen Jordan A.",KarenJordanA,female,western,gadgets,632,227,https://randomuser.me/api/portraits/women/2.jpg
content,caucasian,"Clayton McDonald",ClaytonMcDonald,male,western,fashion_lifestyle,366,116,https://randomuser.me/api/portraits/men/1.jpg
content,caucasian,"Victoria Perez",VictoriaPerez,female,western,nature_environment,496,101,https://randomuser.me/api/portraits/women/3.jpg
content,caucasian,"Abigail Carter",AbigailCarter,female,western,animals_wildlife,483,202,https://randomuser.me/api/portraits/women/4.jpg
content,caucasian,"James Miller A.",JamesMillerA,male,western,health_fitness,332,260,https://randomuser.me/api/portraits/men/2.jpg
content,caucasian,"Deborah Torres",DeborahTorres,female,western,education_career,341,131,https://randomuser.me/api/portraits/women/5.jpg
content,caucasian,"Sarah Williams",SarahWilliams,female,western,business_entrepreneurship,575,266,https://randomuser.me/api/portraits/women/6.jpg
content,caucasian,"Beverly Washington A.",BeverlyWashingtonA,female,western,sports,614,88,https://randomuser.me/api/portraits/women/7.jpg
content,caucasian,"Helen Foster",HelenFoster,female,western,science_technology,638,82,https://randomuser.me/api/portraits/women/8.jpg
content,caucasian,"Vincent Alexander A.",VincentAlexanderA,male,western,ai,518,243,https://randomuser.me/api/portraits/men/3.jpg
content,caucasian,"Sydney Evans A.",SydneyEvansA,female,western,space,553,213,https://randomuser.me/api/portraits/women/9.jpg
content,caucasian,"Amber Stewart",AmberStewart,female,western,gadgets,563,84,https://randomuser.me/api/portraits/women/10.jpg
content,caucasian,"Ethan Roberts",EthanRoberts,male,western,fashion_lifestyle,652,85,https://randomuser.me/api/portraits/men/4.jpg
content,caucasian,"Kylie Edwards",KylieEdwards,female,western,nature_environment,529,90,https://randomuser.me/api/portraits/women/11.jpg
content,caucasian,"Bonnie Butler A.",BonnieButlerA,female,western,animals_wildlife,418,137,https://randomuser.me/api/portraits/women/12.jpg
content,caucasian,"Scott Torres A.",ScottTorresA,male,western,health_fitness,348,262,https://randomuser.me/api/portraits/men/5.jpg
content,caucasian,"Stephanie Taylor A.",StephanieTaylorA,female,western,education_career,557,134,https://randomuser.me/api/portraits/women/13.jpg
content,caucasian,"Brenda Price",BrendaPrice,female,western,business_entrepreneurship,385,235,https://randomuser.me/api/portraits/women/14.jpg
content,caucasian,"Angela Russell A.",AngelaRussellA,female,western,sports,362,140,https://randomuser.me/api/portraits/women/15.jpg
content,caucasian,"Ann Henderson",AnnHenderson,female,western,science_technology,518,122,https://randomuser.me/api/portraits/women/16.jpg
content,caucasian,"Kaitlyn Morris A.",KaitlynMorrisA,female,western,ai,608,181,https://randomuser.me/api/portraits/women/17.jpg
content,caucasian,"Madison Nelson",MadisonNelson,female,western,space,409,156,https://randomuser.me/api/portraits/women/18.jpg
content,caucasian,"Lauren Jackson",LaurenJackson,female,western,gadgets,618,256,https://randomuser.me/api/portraits/women/19.jpg
content,caucasian,"Randy Coleman",RandyColeman,male,western,fashion_lifestyle,343,85,https://randomuser.me/api/portraits/men/6.jpg
content,caucasian,"Helen Foster A.",HelenFosterA,female,western,nature_environment,333,275,https://randomuser.me/api/portraits/women/20.jpg
content,caucasian,"Norman Griffin",NormanGriffin,male,western,animals_wildlife,582,200,https://randomuser.me/api/portraits/men/7.jpg
content,caucasian,"Bobby Flores A.",BobbyFloresA,male,western,health_fitness,536,125,https://randomuser.me/api/portraits/men/8.jpg
